Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
North,Friday Week 3,Oaksey,Bendy Bow (fortnightly stop),"Bendy Bow (fortnightly stop), Oaksey",2017-12-01,Friday,4,13:15,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
South,Monday Week 3,Oare,Old Post Office,"Old Post Office, Oare",2017-11-27,Monday,4,12:40,13:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
North,Thursday Week 4,Ogbourne St George,Liddiards Green,"Liddiards Green, Ogbourne St George",2017-11-09,Thursday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Wednesday Week 1,Old Sarum,Pheasant Drive,"Pheasant Drive, Old Sarum",2017-11-15,Wednesday,4,10:00,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
North,Saturday Week 2,Pewsham,King’s Lodge School (fortnightly stop),"King’s Lodge School (fortnightly stop), Pewsham",2017-11-25,Saturday,4,09:15,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
North,Saturday Week 4,Pewsham,King’s Lodge School (fortnightly stop),"King’s Lodge School (fortnightly stop), Pewsham",2017-11-11,Saturday,4,09:15,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
South,Tuesday Week 3,Pitton,Black Lane,"Black Lane, Pitton",2017-11-28,Tuesday,4,10:00,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Tuesday Week 3,Pitton,School,"School, Pitton",2017-11-28,Tuesday,4,10:25,10:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Tuesday Week 3,Pitton,Village Hall,"Village Hall, Pitton",2017-11-28,Tuesday,4,09:30,09:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Friday Week 3,Porton,Malvern Way,"Malvern Way, Porton",2017-12-01,Friday,4,13:20,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
North,Monday Week 1,Potterne,St Mary’s,"St Mary’s, Potterne",2017-11-13,Monday,4,15:05,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Monday Week 1,Potterne,The School,"The School, Potterne",2017-11-13,Monday,4,14:00,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Monday Week 1,Poulshot,The Raven Pub,"The Raven Pub, Poulshot",2017-11-13,Monday,4,12:40,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Saturday Week 4,Quavey,The Well,"The Well, Quavey",2017-11-11,Saturday,4,13:55,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
North,Saturday Week 4,Rowde,Village Hall,"Village Hall, Rowde",2017-11-11,Saturday,4,11:40,12:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Saturday Week 1,Rudloe,Estate,"Estate, Rudloe",2017-11-18,Saturday,4,14:30,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
South,Monday Week 3,Rushall,Pewsey Road,"Pewsey Road, Rushall",2017-11-27,Monday,4,10:15,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
North,Friday Week 4,Savernake,School,"School, Savernake",2017-11-10,Friday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 2,Savernake,The Warren (fortnightly stop),"The Warren (fortnightly stop), Savernake",2017-11-24,Friday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Friday Week 4,Savernake,The Warren (fortnightly stop),"The Warren (fortnightly stop), Savernake",2017-11-10,Friday,4,10:35,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Monday Week 1,Seend,The Lye,"The Lye, Seend",2017-11-13,Monday,4,09:40,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Monday Week 1,Seend Cleeve,Telephone box,"Telephone box, Seend Cleeve",2017-11-13,Monday,4,10:05,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Wednesday Week 2,Semington,Littlemarsh,"Littlemarsh, Semington",2017-11-22,Wednesday,4,09:45,10:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 2,Semington,Village Hall,"Village Hall, Semington",2017-11-22,Wednesday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Friday Week 4,Shalbourne,Kingston Road,"Kingston Road, Shalbourne",2017-11-10,Friday,4,14:15,14:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 4,Shalbourne,The Plough,"The Plough, Shalbourne",2017-11-10,Friday,4,13:25,14:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Saturday Week 1,Sherston,High Street (fortnightly stop),"High Street (fortnightly stop), Sherston",2017-11-18,Saturday,4,10:30,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Saturday Week 3,Sherston,High Street (fortnightly stop),"High Street (fortnightly stop), Sherston",2017-12-02,Saturday,4,10:30,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/21
North,Tuesday Week 4,Sherston,Noah’s Ark Nursery,"Noah’s Ark Nursery, Sherston",2017-11-07,Tuesday,4,13:10,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
South,Wednesday Week 1,Shrewton,Hindes Meadow (fortnightly stop),"Hindes Meadow (fortnightly stop), Shrewton",2017-11-15,Wednesday,4,13:30,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Shrewton,Hindes Meadow (fortnightly stop),"Hindes Meadow (fortnightly stop), Shrewton",2017-11-29,Wednesday,4,13:30,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
South,Wednesday Week 1,Shrewton,Maddington Church Rooms,"Maddington Church Rooms, Shrewton",2017-11-15,Wednesday,4,14:00,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Shrewton,Maddington Church Rooms,"Maddington Church Rooms, Shrewton",2017-11-29,Wednesday,4,14:00,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
South,Saturday Week 1,South Newton,Vale View Road (fortnightly stop),"Vale View Road (fortnightly stop), South Newton",2017-11-18,Saturday,4,16:00,16:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Thursday Week 3,South Newton,Vale View Road (fortnightly stop),"Vale View Road (fortnightly stop), South Newton",2017-11-30,Thursday,4,14:50,15:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
North,Monday Week 3,Spirthill,Naish House Farm,"Naish House Farm, Spirthill",2017-11-27,Monday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Friday Week 4,Stanton St Bernard,Village Hall,"Village Hall, Stanton St Bernard",2017-11-10,Friday,4,15:40,16:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Tuesday Week 4,Stanton St Quintin,School,"School, Stanton St Quintin",2017-11-07,Tuesday,4,10:50,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Friday Week 3,Startley,Near Greystones,"Near Greystones, Startley",2017-12-01,Friday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Wednesday Week 2,Steeple Ashton,Longs Arms pub (fortnightly stop),"Longs Arms pub (fortnightly stop), Steeple Ashton",2017-11-22,Wednesday,4,11:15,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,Steeple Ashton,Longs Arms pub (fortnightly stop),"Longs Arms pub (fortnightly stop), Steeple Ashton",2017-11-08,Wednesday,4,11:15,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Wednesday Week 2,Steeple Ashton,St Marys,"St Marys, Steeple Ashton",2017-11-22,Wednesday,4,10:45,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
South,Tuesday Week 4,Steeple Langford,The Old School,"The Old School, Steeple Langford",2017-11-07,Tuesday,4,10:50,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Monday Week 3,Stockley,Telephone box,"Telephone box, Stockley",2017-11-27,Monday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Wednesday Week 1,Stratford-sub-Castle,Castle Keep,"Castle Keep, Stratford-sub-Castle",2017-11-15,Wednesday,4,11:00,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
North,Thursday Week 1,Sutton Benger,Bell Piece,"Bell Piece, Sutton Benger",2017-11-16,Thursday,4,14:55,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Friday Week 4,Sutton Veny,School,"School, Sutton Veny",2017-11-10,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
South,Tuesday Week 4,Teffont,Lay-by opposite Frith’s Barn,"Lay-by opposite Frith’s Barn, Teffont",2017-11-07,Tuesday,4,14:10,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Wednesday Week 3,Thickwood,Calder House School,"Calder House School, Thickwood",2017-11-29,Wednesday,4,14:00,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Friday Week 4,Tilshead,Near the Church,"Near the Church, Tilshead",2017-11-10,Friday,4,10:55,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 2,Tockenham,Church,"Church, Tockenham",2017-11-23,Thursday,4,11:45,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
South,Tuesday Week 2,Tollard Royal,The Pond,"The Pond, Tollard Royal",2017-11-21,Tuesday,4,15:10,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
South,Monday Week 3,Upavon,Fairfields,"Fairfields, Upavon",2017-11-27,Monday,4,11:15,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Monday Week 3,Upavon,Watson Close,"Watson Close, Upavon",2017-11-27,Monday,4,11:50,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
North,Tuesday Week 2,Upper Minety,Hovington Leaze,"Hovington Leaze, Upper Minety",2017-11-21,Tuesday,4,14:10,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
North,Friday Week 1,Upper Seagry,School (fortnightly stop),"School (fortnightly stop), Upper Seagry",2017-11-17,Friday,4,09:20,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,Upper Seagry,School (fortnightly stop),"School (fortnightly stop), Upper Seagry",2017-12-01,Friday,4,09:20,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Tuesday Week 4,Upper Wraxall,The Green,"The Green, Upper Wraxall",2017-11-07,Tuesday,4,16:00,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
South,Friday Week 4,Upton Lovell,14a The Bungalow,"14a The Bungalow, Upton Lovell",2017-11-10,Friday,4,15:00,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 2,Urchfont,The Croft,"The Croft, Urchfont",2017-11-23,Thursday,4,13:50,14:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 2,Urchfont,The Green (fortnightly stop),"The Green (fortnightly stop), Urchfont",2017-11-23,Thursday,4,14:45,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 4,Urchfont,The Green (fortnightly stop),"The Green (fortnightly stop), Urchfont",2017-11-09,Thursday,4,14:45,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Monday Week 1,Wedhampton,Telephone Box,"Telephone Box, Wedhampton",2017-11-13,Monday,4,10:10,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
North,Thursday Week 3,West Ashton,Orchard Close,"Orchard Close, West Ashton",2017-11-30,Thursday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Thursday Week 1,West Dean,Village Hall,"Village Hall, West Dean",2017-11-16,Thursday,4,14:45,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,West Grimstead,Greenfields,"Greenfields, West Grimstead",2017-11-16,Thursday,4,15:20,15:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,West Grimstead,Recreation Ground,"Recreation Ground, West Grimstead",2017-11-16,Thursday,4,15:40,15:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 2,West Harnham,Berkshire Road,"Berkshire Road, West Harnham",2017-11-25,Saturday,4,14:10,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Wednesday Week 3,West Lavington,School,"School, West Lavington",2017-11-29,Wednesday,4,10:50,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
North,Tuesday Week 3,West Overton,Peacocks,"Peacocks, West Overton",2017-11-28,Tuesday,4,11:25,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
North,Thursday Week 3,Westwood,Post Office,"Post Office, Westwood",2017-11-30,Thursday,4,12:40,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Thursday Week 1,Whiteparish,Ashmore Close (fortnightly stop),"Ashmore Close (fortnightly stop), Whiteparish",2017-11-16,Thursday,4,10:35,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 3,Whiteparish,Ashmore Close (fortnightly stop),"Ashmore Close (fortnightly stop), Whiteparish",2017-12-02,Saturday,4,11:45,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
South,Thursday Week 1,Whiteparish,School,"School, Whiteparish",2017-11-16,Thursday,4,11:10,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
North,Tuesday Week 1,Whitley,Reading Rooms,"Reading Rooms, Whitley",2017-11-14,Tuesday,4,11:15,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
South,Monday Week 1,Wilsford,Outside Lamberts,"Outside Lamberts, Wilsford",2017-11-13,Monday,4,11:00,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
North,Thursday Week 3,Wingfield,The Poplars Pub,"The Poplars Pub, Wingfield",2017-11-30,Thursday,4,14:05,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,Avonpark Retirement Village,"Avonpark Retirement Village, Winsley",2017-11-30,Thursday,4,10:40,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,School,"School, Winsley",2017-11-30,Thursday,4,11:20,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Friday Week 3,Winterbourne Earls,Earls Manor Court,"Earls Manor Court, Winterbourne Earls",2017-12-01,Friday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 1,Winterbourne Earls,Glebe Hall (fortnightly stop),"Glebe Hall (fortnightly stop), Winterbourne Earls",2017-11-17,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Winterbourne Earls,Glebe Hall (fortnightly stop),"Glebe Hall (fortnightly stop), Winterbourne Earls",2017-12-01,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 2,Winterbourne Gunner,Camp,"Camp, Winterbourne Gunner",2017-11-24,Friday,4,15:20,15:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Tuesday Week 1,Winterslow,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Winterslow",2017-11-14,Tuesday,4,13:30,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 3,Winterslow,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Winterslow",2017-11-28,Tuesday,4,13:30,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Monday Week 3,Woodborough,Church,"Church, Woodborough",2017-11-27,Monday,4,14:30,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Monday Week 3,Woodborough,Social Club Car Park,"Social Club Car Park, Woodborough",2017-11-27,Monday,4,14:55,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Saturday Week 4,Woodfalls,Opposite Post Office,"Opposite Post Office, Woodfalls",2017-11-11,Saturday,4,13:25,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
North,Monday Week 1,Worton,The School,"The School, Worton",2017-11-13,Monday,4,13:10,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Tuesday Week 4,Wylye,The Bell Pub,"The Bell Pub, Wylye",2017-11-07,Tuesday,4,09:30,10:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Monday Week 3,Yatesbury,The Lymers,"The Lymers, Yatesbury",2017-11-27,Monday,4,11:45,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Wednesday Week 1,Yatton Keynell,Village Hall,"Village Hall, Yatton Keynell",2017-11-15,Wednesday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
South,Thursday Week 2,Zeals,43 Zeals Rise (fortnightly stop),"43 Zeals Rise (fortnightly stop), Zeals",2017-11-23,Thursday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Zeals,43 Zeals Rise (fortnightly stop),"43 Zeals Rise (fortnightly stop), Zeals",2017-11-09,Thursday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
South,Thursday Week 2,Zeals,School (fortnightly stop),"School (fortnightly stop), Zeals",2017-11-23,Thursday,4,10:35,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Zeals,School (fortnightly stop),"School (fortnightly stop), Zeals",2017-11-09,Thursday,4,10:35,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
